City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,kirakira,-10.4544,161.9205,77.0,89,93,9.15,SB,1628961621
185,concordia,-31.393,-58.0209,68.07,52,75,2.3,AR,1628961357
186,rock sound,24.9,-76.2,83.5,68,37,19.19,BS,1628961621
187,sechura,-5.5569,-80.8222,77.07,56,48,6.82,PE,1628961621
188,agboville,5.928,-4.2132,81.95,57,94,7.74,CI,1628961622
189,namibe,-15.1961,12.1522,66.16,84,73,10.27,AO,1628961622
190,weligama,5.9667,80.4167,78.84,85,93,12.66,LK,1628961622
191,khao wong,16.7001,104.0902,74.37,98,100,7.07,TH,1628961623
192,guerrero negro,27.9769,-114.0611,80.24,61,23,13.53,MX,1628961623
193,hosangadi,13.7,74.95,75.16,90,100,1.34,IN,1628961623
194,nhulunbuy,-12.2333,136.7667,75.81,88,40,9.22,AU,1628961624
195,shingu,33.7333,135.9833,81.91,90,100,15.93,JP,1628961624
196,los llanos de aridane,28.6585,-17.9182,73.15,73,20,17.27,ES,1628961624
197,tura,25.5198,90.2201,74.01,96,99,4.85,IN,1628961625
198,alakurtti,66.9672,30.3491,61.63,67,76,3.67,RU,1628961625
199,pisco,-13.7,-76.2167,62.65,82,90,6.91,PE,1628961625
200,vila velha,-20.3297,-40.2925,80.55,61,20,14.97,BR,1628961391
201,souillac,-20.5167,57.5167,72.36,83,75,14.97,MU,1628961626
202,kingsville,27.5159,-97.8561,93.88,55,20,3.0,US,1628961488
203,asyut,27.181,31.1837,95.95,13,0,11.3,EG,1628961626
204,iqaluit,63.7506,-68.5145,42.53,87,90,11.5,CA,1628961608
205,nha trang,12.25,109.1833,82.4,86,100,4.68,VN,1628961626
206,whitefish,48.4111,-114.3376,73.15,46,20,4.61,US,1628961628
207,bathsheba,13.2167,-59.5167,81.21,83,40,6.91,BB,1628961628
208,maraba,-5.3686,-49.1178,95.18,49,40,3.44,BR,1628961628
209,inyonga,-6.7167,32.0667,77.18,30,21,7.7,TZ,1628961418
210,saint-francois,46.4154,3.9054,89.04,55,0,4.61,FR,1628961629
211,havoysund,70.9963,24.6622,50.88,85,97,9.4,NO,1628961629
212,tevaitoa,-16.7833,-151.5,78.13,75,10,5.95,PF,1628961629
213,baoqing,46.3317,132.2111,62.6,59,70,2.1,CN,1628961630
214,ilulissat,69.2167,-51.1,53.62,82,75,23.02,GL,1628961630
215,fortuna,40.5982,-124.1573,55.74,56,43,5.86,US,1628961630
216,sharan,54.8167,54.0,71.02,54,63,15.08,RU,1628961631
217,steinbach,50.1667,8.5667,85.51,42,0,4.61,DE,1628961631
218,vanavara,60.34,102.2797,63.25,66,99,1.99,RU,1628961631
219,porosozero,62.7191,32.727,60.06,94,100,10.16,RU,1628961631
220,alice springs,-23.7,133.8833,45.95,46,0,0.0,AU,1628961632
221,pitimbu,-7.4706,-34.8086,86.59,71,35,14.72,BR,1628961632
222,nantucket,41.2835,-70.0995,88.14,74,1,12.66,US,1628961477
223,punta alta,-38.8759,-62.0736,62.37,38,0,13.42,AR,1628961632
224,yar-sale,66.8333,70.8333,63.55,75,100,12.15,RU,1628961633
225,nelson,-41.2833,173.2833,40.28,80,6,1.01,NZ,1628961609
226,skjervoy,70.0311,20.9714,50.13,77,30,7.27,NO,1628961633
227,mustang,35.3842,-97.7245,80.8,73,75,3.44,US,1628961539
228,hithadhoo,-0.6,73.0833,82.33,73,73,13.53,MV,1628961634
229,nachalovo,46.338,48.2013,78.73,73,0,13.42,RU,1628961634
230,freeport,40.6576,-73.5832,92.08,59,1,8.01,US,1628961634
231,yellowknife,62.456,-114.3525,61.32,94,75,11.5,CA,1628961635
232,mount isa,-20.7333,139.5,69.57,32,0,5.75,AU,1628961635
233,ishigaki,24.3448,124.1572,82.65,84,19,17.31,JP,1628961635
234,chavakkad,10.5333,76.05,77.07,85,99,10.29,IN,1628961636
235,taunggyi,20.7833,97.0333,64.22,96,100,3.38,MM,1628961636
236,la ronge,55.1001,-105.2842,75.45,57,75,4.61,CA,1628961623
237,quatre cocos,-20.2078,57.7625,72.09,76,13,15.3,MU,1628961636
238,tuktoyaktuk,69.4541,-133.0374,46.4,87,90,10.36,CA,1628961637
239,avera,33.194,-82.5271,94.95,49,87,5.12,US,1628961637
240,kununurra,-15.7667,128.7333,80.58,32,90,8.05,AU,1628961637
241,nemuro,43.3236,145.575,56.43,82,100,12.8,JP,1628961637
242,coihaique,-45.5752,-72.0662,50.61,57,0,5.75,CL,1628961638
243,lorengau,-2.0226,147.2712,80.92,82,45,9.35,PG,1628961638
244,sumenep,-7.0167,113.8667,79.57,80,11,11.03,ID,1628961638
245,laguna,38.421,-121.4238,98.64,52,1,3.44,US,1628961462
246,atbasar,51.8,68.3333,64.13,47,100,6.06,KZ,1628961639
247,fare,-16.7,-151.0167,78.1,75,2,6.42,PF,1628961639
248,belgrade,44.804,20.4651,89.26,35,0,2.3,RS,1628961640
249,mayskiy,47.6931,40.1025,72.81,81,95,10.18,RU,1628961640
250,aykhal,66.0,111.5,47.21,93,100,8.72,RU,1628961640
251,karratha,-20.7377,116.8463,71.08,36,49,6.62,AU,1628961640
252,alenquer,-1.9417,-54.7383,86.34,56,90,3.44,BR,1628961641
253,peleduy,59.6289,112.7406,62.38,91,71,2.55,RU,1628961641
254,raga,8.4596,25.678,71.78,89,100,2.08,SS,1628961641
255,grand island,40.925,-98.342,80.62,52,1,4.0,US,1628961642
256,gambela,8.25,34.5833,71.91,94,93,1.72,ET,1628961642
257,san cristobal,7.7669,-72.225,73.09,80,99,4.79,VE,1628961642
258,azul,-36.777,-59.8585,56.71,54,0,7.34,AR,1628961643
259,shevchenkove,49.6959,37.1735,74.98,42,100,8.41,UA,1628961643
260,la paz,-16.5,-68.15,62.58,15,20,9.22,BO,1628961643
261,camacha,33.0833,-16.3333,75.96,78,20,13.8,PT,1628961644
262,husavik,66.0449,-17.3389,53.51,87,97,7.85,IS,1628961644
263,sao joao da barra,-21.6403,-41.0511,75.29,76,31,7.65,BR,1628961644
264,garavuti,37.5672,68.4469,75.85,16,0,5.01,TJ,1628961645
265,rancharia,-22.2292,-50.8931,83.32,29,8,3.13,BR,1628961645
266,itoman,26.1247,127.6694,80.98,94,20,10.36,JP,1628961645
267,lufilufi,-13.8745,-171.5986,73.18,76,75,19.08,WS,1628961646
268,pemangkat,1.1667,108.9667,79.21,80,92,1.41,ID,1628961646
269,kenai,60.5544,-151.2583,56.03,83,90,0.0,US,1628961646
270,colorado,-22.8375,-51.9731,81.07,36,37,7.34,BR,1628961646
271,airai,-8.9266,125.4092,55.06,73,5,3.38,TL,1628961647
272,port shepstone,-30.7414,30.455,55.94,86,100,10.78,ZA,1628961647
273,tunceli,39.1083,39.5471,83.26,59,37,7.43,TR,1628961647
